Parameters (billion),# GPUs,global batch,micro batch,hidden size,attention heads,# layers,sequence length,tensor parallelism,data parallelism,pipeline parallelism,iteration time (ms)
3.6,64,512,8,3072,32,30,2048,1,64,1,3566.5
3.6,64,512,4,3072,32,30,2048,1,64,1,3638.3
3.6,64,512,8,3072,32,30,2048,2,32,1,3975.2
3.6,64,512,2,3072,32,30,2048,1,64,1,3700.5
3.6,64,512,16,3072,32,30,2048,2,32,1,3937.5
3.6,64,512,4,3072,32,30,2048,2,32,1,4078.2
3.6,64,512,2,3072,32,30,2048,2,32,1,4264.2
3.6,64,512,16,3072,32,30,2048,4,16,1,4492.1
3.6,64,512,32,3072,32,30,2048,4,16,1,4548.2
3.6,64,512,8,3072,32,30,2048,4,16,1,4634.4
3.6,64,512,4,3072,32,30,2048,4,16,1,4764
3.6,64,512,4,3072,32,30,2048,1,32,2,4382.1
3.6,64,512,2,3072,32,30,2048,1,32,2,4034.9
3.6,64,512,2,3072,32,30,2048,4,16,1,6228.3
3.6,64,512,8,3072,32,30,2048,1,32,2,5045.6
3.6,64,512,64,3072,32,30,2048,8,8,1,9838.9
3.6,64,512,32,3072,32,30,2048,8,8,1,4972.3
3.6,64,512,16,3072,32,30,2048,8,8,1,5017.8
3.6,64,512,8,3072,32,30,2048,8,8,1,5178
3.6,64,512,4,3072,32,30,2048,8,8,1,5618
3.6,64,512,2,3072,32,30,2048,8,8,1,8880.9
3.6,64,512,32,3072,32,30,2048,16,4,1,10580.6
3.6,64,512,16,3072,32,30,2048,16,4,1,10719.3
3.6,64,512,8,3072,32,30,2048,16,4,1,10894
3.6,64,512,4,3072,32,30,2048,16,4,1,11960.1
3.6,64,512,2,3072,32,30,2048,16,4,1,13472.2
18.4,256,1024,8,6144,48,40,2048,8,32,1,9603.6
18.4,256,1024,16,6144,48,40,2048,8,32,1,10506.6
18.4,256,1024,4,6144,48,40,2048,8,32,1,9927.6
18.4,256,1024,2,6144,48,40,2048,8,32,1,10453.3
18.4,256,1024,8,6144,48,40,2048,4,32,2,10856.3
18.4,256,1024,4,6144,48,40,2048,4,32,2,10950.4
18.4,256,1024,2,6144,48,40,2048,4,32,2,10031.6
18.4,256,1024,4,6144,48,40,2048,2,32,4,10825
18.4,256,1024,4,6144,48,40,2048,1,32,8,12379
18.4,256,1024,2,6144,48,40,2048,8,16,2,10434.8
18.4,256,1024,2,6144,48,40,2048,8,8,4,10926.4
18.4,256,1024,8,6144,48,40,2048,8,4,8,11026.1
18.4,256,1024,8,6144,48,40,2048,2,16,8,13157.5
18.4,256,1024,2,6144,48,40,2048,16,16,1,20414.8
18.4,256,1024,32,6144,48,40,2048,8,4,8,16241.4
39.1,512,1536,2,8192,64,48,2048,2,32,8,21890.4
39.1,512,1536,2,8192,64,48,2048,4,32,4,13875.5
39.1,512,1536,2,8192,64,48,2048,2,16,16,23747.9
39.1,512,1536,3,8192,64,48,2048,4,32,4,16185.5
39.1,512,1536,4,8192,64,48,2048,4,32,4,15625.6
39.1,512,1536,2,8192,64,48,2048,4,16,8,16070.6
39.1,512,1536,3,8192,64,48,2048,2,32,8,19067.2
39.1,512,1536,3,8192,64,48,2048,4,16,8,17606.1
39.1,512,1536,2,8192,64,48,2048,4,8,16,14529.6
39.1,512,1536,3,8192,64,48,2048,2,16,16,26188.8
39.1,512,1536,4,8192,64,48,2048,4,16,8,17413.6
39.1,512,1536,6,8192,64,48,2048,4,32,4,18532.1
39.1,512,1536,6,8192,64,48,2048,8,32,2,14915.5
39.1,512,1536,8,8192,64,48,2048,8,32,2,15212.8
39.1,512,1536,4,8192,64,48,2048,8,32,2,14757.3
39.1,512,1536,12,8192,64,48,2048,8,32,2,17126.8
39.1,512,1536,3,8192,64,48,2048,8,32,2,14850.4
39.1,512,1536,3,8192,64,48,2048,4,8,16,15023.9
39.1,512,1536,2,8192,64,48,2048,8,32,2,14614
39.1,512,1536,4,8192,64,48,2048,4,8,16,15585.5
39.1,512,1536,2,8192,64,48,2048,8,16,4,14713.4
39.1,512,1536,6,8192,64,48,2048,4,16,8,16087
39.1,512,1536,3,8192,64,48,2048,8,16,4,14833.8
39.1,512,1536,4,8192,64,48,2048,8,16,4,14750.7
39.1,512,1536,6,8192,64,48,2048,8,16,4,15249.4
39.1,512,1536,2,8192,64,48,2048,8,8,8,15001.9
39.1,512,1536,8,8192,64,48,2048,8,16,4,15814.5
39.1,512,1536,3,8192,64,48,2048,8,8,8,15270.7
39.1,512,1536,4,8192,64,48,2048,8,8,8,14967.1
39.1,512,1536,6,8192,64,48,2048,4,8,16,20044.1
39.1,512,1536,6,8192,64,48,2048,8,8,8,15775.3
39.1,512,1536,12,8192,64,48,2048,8,16,4,17182.4
39.1,512,1536,3,8192,64,48,2048,1,32,16,19991
39.1,512,1536,2,8192,64,48,2048,8,4,16,15639.4
39.1,512,1536,6,8192,64,48,2048,2,32,8,23062.9
39.1,512,1536,3,8192,64,48,2048,8,4,16,16360.8
39.1,512,1536,8,8192,64,48,2048,8,8,8,16413.4
39.1,512,1536,4,8192,64,48,2048,8,4,16,15944.5
39.1,512,1536,6,8192,64,48,2048,8,4,16,16232.8
39.1,512,1536,6,8192,64,48,2048,2,16,16,27228.4
39.1,512,1536,12,8192,64,48,2048,8,8,8,17999.5
39.1,512,1536,12,8192,64,48,2048,4,16,8,20614.8
39.1,512,1536,8,8192,64,48,2048,8,4,16,16877.1
39.1,512,1536,12,8192,64,48,2048,8,4,16,18568.3
39.1,512,1536,12,8192,64,48,2048,4,8,16,27810.3
39.1,512,1536,24,8192,64,48,2048,8,8,8,23171.1
39.1,512,1536,24,8192,64,48,2048,8,4,16,24169.9
175,512,1536,2,12288,96,96,2048,4,8,16,54255.9
175,512,1536,3,12288,96,96,2048,4,8,16,55236
175,512,1536,2,12288,96,96,2048,4,4,32,53909.6
175,512,1536,2,12288,96,96,2048,4,4,32,53937.9
175,512,1536,3,12288,96,96,2048,4,4,32,56297.2
175,512,1536,2,12288,96,96,2048,2,8,32,57411.2
175,512,1536,4,12288,96,96,2048,4,8,16,57720
175,512,1536,2,12288,96,96,2048,8,8,8,55109.6
175,512,1536,3,12288,96,96,2048,8,8,8,56176.5
175,512,1536,2,12288,96,96,2048,8,4,16,56315.8
175,512,1536,4,12288,96,96,2048,4,4,32,59333.2
175,512,1536,4,12288,96,96,2048,8,8,8,58240.3
175,512,1536,3,12288,96,96,2048,8,4,16,55677.5
175,512,1536,4,12288,96,96,2048,8,4,16,57504.3
175,512,1536,2,12288,96,96,2048,8,2,32,58555.4
175,512,1536,3,12288,96,96,2048,8,2,32,57324.4
175,512,1536,3,12288,96,96,2048,2,8,32,64296.3
175,512,1536,6,12288,96,96,2048,8,4,16,60519.2
175,512,1536,6,12288,96,96,2048,4,4,32,66632.5
175,512,1536,4,12288,96,96,2048,8,2,32,59147.5
175,512,1536,6,12288,96,96,2048,8,2,32,62636.8
