# GPUs,global batch,micro batch,hidden size,attention heads,# layers,sequence length,tensor parallelism,data parallelism,pipeline parallelism,iteration time (ms)
2,16,8,1024,16,24,1024,1,1,2,372.160408
8,32,4,1024,16,24,1024,2,2,2,219.732754
4,16,4,2048,16,24,1024,1,2,2,410.490577
8,8,2,2048,16,20,1024,4,1,2,160.6027
8,4,1,1024,16,16,1024,1,2,4,77.216619
8,4,2,1024,16,24,1024,4,1,2,128.248067
4,32,2,2048,16,16,1024,1,4,1,406.355066
8,32,2,1024,16,16,1024,4,2,1,457.697031
8,8,2,1024,16,24,1024,2,2,2,140.496352
4,16,2,1024,16,20,1024,1,4,1,158.717599
4,16,2,2048,16,24,1024,1,4,1,304.165703
4,4,2,1024,16,12,1024,4,1,1,88.523325
8,8,2,2048,16,16,1024,4,1,2,132.598596
2,8,1,1024,16,12,1024,1,2,1,178.043799
8,8,1,1024,16,24,1024,4,2,1,345.817031
4,16,8,1024,16,24,1024,2,1,2,230.682957
4,8,1,2048,16,16,1024,1,4,1,152.151529
4,8,1,1024,16,16,1024,1,1,4,185.736453
8,4,2,1024,16,24,1024,8,1,1,201.676606
8,32,2,2048,16,24,1024,1,2,4,478.316661
8,64,1,1024,16,12,1024,2,4,1,700.42027
2,16,4,1024,16,24,1024,1,1,2,377.150145
8,64,4,1024,16,24,1024,1,8,1,289.605758
8,64,4,2048,16,16,1024,1,4,2,511.957199
8,8,4,2048,16,16,1024,2,1,4,151.982405
4,16,8,1024,16,24,1024,4,1,1,249.711223
8,8,2,1024,16,16,1024,4,2,1,116.210097
4,32,1,2048,16,12,1024,1,2,2,511.71286
4,16,2,1024,16,16,1024,1,1,4,225.445934
2,4,1,1024,16,16,1024,1,1,2,148.984377
4,16,8,1024,16,20,1024,4,1,1,210.777611
8,8,1,1024,16,20,1024,8,1,1,815.840026
4,8,1,2048,16,20,1024,2,1,2,342.301812
2,8,2,1024,16,24,1024,1,2,1,184.330367
4,16,8,2048,16,20,1024,2,1,2,357.1546
4,8,2,2048,16,24,1024,4,1,1,289.377306
8,2,1,1024,16,20,1024,8,1,1,204.986464
2,8,4,1024,16,16,1024,1,1,2,160.973189
8,8,1,1024,16,16,1024,1,2,4,113.771497
8,32,2,1024,16,20,1024,4,2,1,564.174379
4,16,8,2048,16,20,1024,4,1,1,324.921573
8,8,1,2048,16,20,1024,4,1,2,297.266014
4,2,1,2048,16,12,1024,2,1,2,73.620396
8,128,4,1024,16,20,1024,1,8,1,484.820972
4,32,2,1024,16,20,1024,1,2,2,373.037074
8,16,1,1024,16,20,1024,1,8,1,145.176273
8,8,1,1024,16,24,1024,2,1,4,244.952213
4,16,1,1024,16,24,1024,1,1,4,446.371561
8,4,1,2048,16,24,1024,2,2,2,141.620824
8,16,2,2048,16,12,1024,1,2,4,185.697557
4,8,2,2048,16,24,1024,2,1,2,307.265595
8,4,1,1024,16,12,1024,2,2,2,68.648647
2,8,1,2048,16,24,1024,2,1,1,698.673914
8,4,1,2048,16,16,1024,2,2,2,97.746972
8,64,1,1024,16,12,1024,1,4,2,411.617265
2,8,1,2048,16,16,1024,1,2,1,278.510803
8,128,4,2048,16,20,1024,1,8,1,877.614558
8,32,2,2048,16,24,1024,1,8,1,303.755986
8,8,2,2048,16,20,1024,2,1,4,190.418262
8,8,1,2048,16,20,1024,1,2,4,168.453316
8,64,4,1024,16,12,1024,2,4,1,183.58437
8,64,8,2048,16,24,1024,1,4,2,752.708528
4,16,8,2048,16,24,1024,4,1,1,384.937801
8,8,1,1024,16,12,1024,2,1,4,134.63396
4,16,4,1024,16,16,1024,1,1,4,219.400073
4,8,2,1024,16,20,1024,4,1,1,282.502039
8,64,1,2048,16,12,1024,2,4,1,730.368302
8,16,2,1024,16,20,1024,2,2,2,197.304954
8,64,1,1024,16,20,1024,2,4,1,1128.526098
8,32,1,2048,16,16,1024,4,2,1,826.563781
2,32,1,1024,16,20,1024,1,2,1,1078.550723
2,8,4,1024,16,20,1024,2,1,1,143.843466
8,64,1,2048,16,24,1024,1,4,2,849.693819
2,8,1,1024,16,12,1024,2,1,1,350.348354
4,16,4,2048,16,12,1024,1,2,2,243.775097
8,8,1,1024,16,16,1024,8,1,1,655.94377
8,16,2,2048,16,24,1024,2,2,2,310.982695
4,16,1,1024,16,20,1024,1,4,1,278.167923
4,16,4,2048,16,16,1024,2,1,2,289.817455
8,32,1,1024,16,20,1024,2,4,1,567.11133
4,2,1,2048,16,16,1024,1,1,4,94.145458
2,16,1,2048,16,16,1024,2,1,1,944.552818
4,16,1,1024,16,24,1024,2,1,2,726.833151
4,8,1,1024,16,24,1024,1,4,1,170.271921
2,32,8,2048,16,16,1024,1,2,1,689.778378
2,4,2,2048,16,12,1024,2,1,1,129.433442
8,16,8,1024,16,16,1024,4,1,2,134.526187
8,4,1,2048,16,16,1024,8,1,1,319.048452
4,4,1,1024,16,24,1024,2,1,2,214.112355
2,16,2,2048,16,12,1024,2,1,1,496.019576
4,16,1,1024,16,12,1024,4,1,1,709.985151
4,2,1,2048,16,12,1024,1,1,4,76.948466
8,32,1,1024,16,24,1024,1,2,4,447.765761
4,64,1,2048,16,16,1024,1,4,1,1029.244823
8,16,8,2048,16,12,1024,4,1,2,164.399621
4,64,1,1024,16,20,1024,1,4,1,1079.721423
8,64,2,1024,16,20,1024,2,4,1,611.480542
8,4,2,1024,16,24,1024,2,1,4,118.299076
8,32,2,1024,16,24,1024,1,8,1,186.469067
8,16,2,1024,16,16,1024,2,1,4,189.370594
2,16,2,1024,16,12,1024,1,2,1,201.136611
8,32,4,2048,16,24,1024,4,2,1,517.731902
4,8,1,2048,16,24,1024,1,1,4,308.133608
4,8,1,2048,16,16,1024,1,2,2,187.895612
